,strDrink,dateModified,idDrink,strAlcoholic,strCategory,strDrinkThumb,strGlass,strIBA,strIngredient1,strIngredient10,strIngredient11,strIngredient12,strIngredient13,strIngredient14,strIngredient15,strIngredient2,strIngredient3,strIngredient4,strIngredient5,strIngredient6,strIngredient7,strIngredient8,strIngredient9,strInstructions,strMeasure1,strMeasure10,strMeasure11,strMeasure12,strMeasure13,strMeasure14,strMeasure15,strMeasure2,strMeasure3,strMeasure4,strMeasure5,strMeasure6,strMeasure7,strMeasure8,strMeasure9,strVideo
506,Tomato Tang,42786.63053,12726,Non alcoholic,Other/Unknown,http://www.thecocktaildb.com/images/media/drink/869qr81487603278.jpg,Highball glass,,Tomato juice,,,,,,,Lemon juice,Celery salt,,,,,,,"Place all ingredients in the blender jar - cover and whiz on medium speed until well blended. Pour in one tall, 2 medium or 3 small glasses and drink up.",2 cups ,,,,,,,1 tblsp ,1 dash , , , , , ,,
507,Tommy's Margarita,42980.77632,17216,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/loezxn1504373874.jpg,Old-Fashioned glass,New Era Drinks,Tequila,,,,,,,Lime Juice,Agave syrup,,,,,,,Shake and strain into a chilled cocktail glass.,4.5 cl,,,,,,,1.5 cl,2 spoons,,, , ,,,
508,Turf Cocktail,42253.69869,12418,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/utypqq1441554367.jpg,Cocktail glass,,Dry Vermouth,,,,,,,Gin,Anis,Bitters,Orange peel,,,,,Stir all ingredients (except orange peel) with ice and strain into a cocktail glass. Add the twist of orange peel and serve.,1 oz , ,,,,,,1 oz ,0.25 tsp ,2 dashes ,Twist of , , , , ,
509,Turkeyball,42253.69784,15006,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/rxurpr1441554292.jpg,Shot glass,,Wild Turkey,,,,,,,Amaretto,Pineapple juice,,,,,,,Shake with ice and strain into a shot glass.,1 oz ,,,,,,,0.75 oz ,1 splash , , , , , ,,
510,Tuxedo Cocktail,42980.52953,12420,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/4u0nbl1504352551.jpg,Cocktail glass,Unforgettables,Dry Vermouth,,,,,,,Gin,Maraschino liqueur,Anis,Orange bitters,Cherry,,,,Stir all ingredients with ice and strain into a cocktail glass. Garnish with a cherry and a twist of lemon zest.,0.5 oz , , ,,,,,0.5 oz ,0.25 tsp ,0.25 tsp ,2 dashes ,1, , , ,
511,Valencia Cocktail,42848.85231,12434,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/9myuc11492975640.jpg,Cocktail glass,,Apricot brandy,,,,,,,Orange juice,Orange bitters,,,,,,,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",0.5 oz ,,,,,,,1 tblsp ,2 dashes , , , , , ,,
512,Vampiro,42980.78063,17217,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/yfhn371504374246.jpg,Old-Fashioned glass,New Era Drinks,Tequila,,,,,,,Tomato Juice,Orange Juice,Lime Juice,Sugar Syrup,Salt,,,,"Vampiros may be made in a tall glass or an old fashioned glass. Bartenders may first ""rim"" the glass with Kosher Salt, which is done by placing a layer of Kosher Salt on a chopping board, moistening the glass' rim with lime juice or water, and then placing the upside down glass rim onto the Kosher Salt, so that the salt sticks to the moistened rim. The second step is to fill half the glass with ice and add one or two shooter glasses full of high quality Tequila. The next stage is to add the flavouring elements. This is done by squeezing a fresh lime into the glass, adding a few grains of salt, adding citrus-flavoured soda pop, until the glass is 4/5 full, and then adding spicy Viuda de Sanchez (or orange juice, lime juice and pico de gallo). The final step is to stir the ingredients so that the flavours are properly blended.",6 cl,,,,,,,3 cl,3 cl,1.5 cl,1 dash,1 pinch, ,,,
513,Van Vleet,42848.85383,12436,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/fgq2bl1492975771.jpg,Old-fashioned glass,,Light rum,,,,,,,Maple syrup,Lemon juice,,,,,,,"Shake all ingredients with ice, strain into an old-fashioned glass over ice count, and serve.",3 oz ,,,,,,,1 oz ,1 oz , , , , , ,,
514,Vermouth Cassis,42253.70225,12442,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/tswpxx1441554674.jpg,Highball glass,,Dry Vermouth,,,,,,,Creme de Cassis,Carbonated water,,,,,,,"Stir vermouth and creme de cassis in a highball glass with ice count. Fill with carbonated water, stir again, and serve.",0.5 oz ,,,,,,,0.75 oz ,"
","
","
","
","
","
",,
515,Vesper,42980.78373,17218,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/mtdxpa1504374514.jpg,Cocktail glass,New Era Drinks,Gin,,,,,,,Vodka,Lillet Blanc,,,,,,,"Shake over ice until well chilled, then strain into a deep goblet and garnish with a thin slice of lemon peel.",6 cl,,,,,,,1.5 cl,0.75 cl,,, , ,,,
516,Vesuvio,42848.85883,12444,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/26cq601492976203.jpg,Old-fashioned glass,,Light rum,,,,,,,Sweet Vermouth,Lemon,Powdered sugar,Egg white,,,,,"Shake all ingredients with ice, strain into an old-fashioned glass over ice count, and serve.",1 oz , ,,,,,,0.5 oz ,0.5 count,1 tsp ,1, , , , ,
517,Veteran,42848.85944,12446,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/iwml9t1492976255.jpg,Old-fashioned glass,,Dark rum,,,,,,,Cherry brandy,,,,,,,,Pour the rum and cherry brandy into an old-fashioned glass almost filled with ice count. Stir well.,2 oz ,,,,,,,0.5 oz , , , , , ,,,
518,Victor,42848.8613,12450,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/voapgc1492976416.jpg,Cocktail glass,,Gin,,,,,,,Sweet Vermouth,Brandy,,,,,,,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",0.5 oz ,,,,,,,0.5 oz ,0.5 oz , , , , , ,,
519,Victory Collins,42848.86365,12452,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/lx0lvs1492976619.jpg,Collins glass,,Vodka,,,,,,,Lemon juice,Grape juice,Powdered sugar,Orange,,,,,Shake all ingredients (except orange slice) with ice and strain into a collins glass over ice count. Add the slice of orange and serve.,0.5 oz , ,,,,,,3 oz ,3 oz unsweetened ,1 tsp ,1 slice , , , , ,
