"Ingredient","Unit1","Unit2","Unit3","Unit4","Unit5","Unit6","Unit7","Unit8","Unit9","Unit10","Unit11"
"cherry","count","fill",,,,,,,,,
"creme de mure","oz",,,,,,,,,,
"apricot brandy","oz","liter","part",,,,,,,,
"strawberry liqueur","dash","tsp",,,,,,,,,
"yukon jack","part",,,,,,,,,,
"aquavit","oz",,,,,,,,,,
"peach schnapps","oz","glass","count","ml",,,,,,,
"grenadine","oz","tsp","tblsp","part","dash","fill","count",,,,
"coriander","tsp",,,,,,,,,,
"mountain dew","oz","liter","fill",,,,,,,,
"absinthe","count",,,,,,,,,,
"cumin seed","tsp",,,,,,,,,,
"sweet and sour","dash","oz","fill",,,,,,,,
"cherry grenadine","oz",,,,,,,,,,
"green chartreuse","oz",,,,,,,,,,
"wild turkey","oz",,,,,,,,,,
"mini-snickers bars","count",,,,,,,,,,
"orange peel","fill","slice","inch",,,,,,,,
"sambuca","oz","ml","fill","glass",,,,,,,
"sarsaparilla","glass",,,,,,,,,,
"benedictine","tsp","oz",,,,,,,,,
"nutmeg","tsp","fill",,,,,,,,,
"angostura bitters","dash","drop",,,,,,,,,
"creme de cassis","oz","part","fill",,,,,,,,
"kummel","tsp",,,,,,,,,,
"tabasco sauce","dash","drop","oz",,,,,,,,
"worcestershire sauce","tsp",,,,,,,,,,
"southern comfort","oz","ml","part",,,,,,,,
"oreo cookie","count",,,,,,,,,,
"cardamom","gr",,,,,,,,,,
"olive","count",,,,,,,,,,
"strawberries","count","cup","oz",,,,,,,,
"champagne","fill","count","oz","part","bottle",,,,,,
"banana","count","piece",,,,,,,,,
"jagermeister","oz","part",,,,,,,,,
"surge","glass","liter","oz",,,,,,,,
"cloves","piece","count","tsp",,,,,,,,
"ice-cream","cup","scoop","oz",,,,,,,,
"water","count","oz","cup","tsp","fill","ml","glass","gal","tblsp","dash","can"
"lillet blanc","oz",,,,,,,,,,
"absolut","oz","part","count",,,,,,,,
"sherry","oz",,,,,,,,,,
"ouzo","part","oz",,,,,,,,,
"yoghurt","cup",,,,,,,,,,
"ricard","tsp",,,,,,,,,,
"johnnie walker","oz","count",,,,,,,,,
"sugar","gr","tsp","oz","cup","fill","tblsp","piece","count","ml","dash","inch"
"orange bitters","dash",,,,,,,,,,
"cantaloupe","count",,,,,,,,,,
"candy","dash",,,,,,,,,,
"fruit","slice","piece","cup",,,,,,,,
"cornstarch","tsp",,,,,,,,,,
"gin","oz","tsp","ml","inch","piece","fill","part",,,,
"celery salt","dash",,,,,,,,,,
"vodka","oz","fill","bottle","part","count","cup","ml","glass","liter",,
"kool-aid","gal","tsp","oz",,,,,,,,
"licorice root","tblsp",,,,,,,,,,
"pisco","oz",,,,,,,,,,
"hot damn","oz",,,,,,,,,,
"butter","tsp",,,,,,,,,,
"yellow chartreuse","oz",,,,,,,,,,
"bourbon","oz","cup",,,,,,,,,
"fruit punch","part","oz",,,,,,,,,
"lime","count","piece","slice","fill",,,,,,,
"7-up","fill","oz","part","liter",,,,,,,
"soda","oz","fill","part","dash","liter","cup","ml",,,,
"banana liqueur","glass","oz",,,,,,,,,
"mango","count",,,,,,,,,,
"orange","count","slice",,,,,,,,,
"apricot","count",,,,,,,,,,
"gold tequila","oz",,,,,,,,,,
"orange curacao","oz",,,,,,,,,,
"pineapple","cup","slice","piece","count","tblsp",,,,,,
"cointreau","oz",,,,,,,,,,
"carrot","count",,,,,,,,,,
